produto,preco,quantidade
Arroz 5kg,23.90,150
Feijão 1kg,7.80,240
Açúcar 1kg,4.50,310
Açúcar 1kg,4.50,310
Óleo 900ml,,90
Café 500g,13.20,175
Leite 1L,4.10,420
Macarrão 500g,5.90,260
Sal 1kg,2.80,300
Farinha de Trigo 1kg,6.40,190
Molho de Tomate 340g,3.20,410
Manteiga 200g,9.90,140
Iogurte 900ml,8.50,95
Biscoito Recheado 140g,3.60,380
Refrigerante 2L,7.90,220
Detergente 500ml,2.50,260
Sabão em Pó 1kg,,130
Papel Higiênico 4un,11.90,170
Ovos Dúzia,9.80,210
Queijo Mussarela 400g,18.50,85
Presunto 200g,7.20,120
Café 500g,13.20,175
Suco de Laranja 1L,6.30,160
Chocolate ao Leite 90g,4.90,300
Água Mineral 1.5L,,240
Feijão 1kg,7.80,240
Pão de Forma 500g,8.10,145
Manteiga 200g,9.90,140
